gpibBR;exp_comm;p_comm15;txcref;g_pibEUA
192346,70;5,70;51,15;198,99;3233813,00
195067,90;10,84;53,31;201,64;3292687,30
197331,20;9,36;58,26;192,83;3295972,50
199751,80;6,99;62,11;202,12;3315562,50
200566,70;5,17;58,35;209,83;3304812,80
199540,80;11,80;55,13;232,13;3325348,50
198471,30;11,32;49,60;245,74;3312035,50
197968,70;6,99;42,64;234,77;3321220,30
202517,20;5,46;44,55;218,52;3348727,50
203629,90;8,51;50,29;225,01;3369339,00
206189,20;11,77;51,90;259,04;3382935,30
208267,50;7,77;54,52;263,58;3387355,30
207353,80;5,98;63,69;234,60;3404858,50
205566,70;13,16;57,86;199,28;3435276,80
207543,80;10,71;58,57;199,73;3492539,30
209687,90;7,93;61,74;194,98;3532844,80
212621,70;8,63;67,00;191,00;3553085,00
218443,90;13,19;71,49;194,85;3580754,30
221217,30;10,69;74,51;183,37;3614458,00
222909,20;6,23;78,21;170,95;3651398,80
224543,70;6,24;85,05;162,59;3691961,50
227619,60;9,38;91,50;152,16;3709926,80
225936,10;8,74;106,76;149,61;3739072,80
228712,80;7,19;109,66;145,90;3760308,00
232675,40;6,75;108,88;141,62;3811022,00
233233,00;9,08;116,84;142,24;3820381,30
237003,30;8,45;117,22;139,49;3826129,30
239810,50;6,48;110,06;134,46;3858410,80
244641,50;6,70;110,57;132,78;3869739,00
248441,70;10,03;121,84;127,13;3894444,80
250959,30;9,93;125,18;120,93;3917901,30
254911,90;8,46;142,85;110,64;3941786,50
257772,10;7,60;163,39;105,84;3925726,50
263750,50;12,68;196,78;99,17;3948193,30
267636,70;10,08;188,95;99,06;3927390,50
257532,90;8,41;118,59;127,26;3841651,80
253890,50;10,88;99,40;128,76;3796868,80
258527,30;18,92;108,75;117,99;3790443,00
264587,70;12,84;117,70;108,81;3804161,80
271323,70;7,25;130,78;103,15;3844788,80
277432,60;8,76;137,70;106,46;3864014,80
280158,40;14,09;138,61;102,88;3901407,00
283033,20;11,48;137,44;97,91;3931570,50
286929,20;8,38;153,71;92,74;3951998,80
290983,20;9,70;177,24;90,80;3942477,80
293843,40;14,99;188,70;88,14;3969209,80
293224,10;13,12;186,24;90,51;3967671,00
295608,80;11,03;177,33;98,59;4012175,50
291807,90;11,41;185,17;97,47;4044992,00
296829,60;17,66;173,33;105,11;4063431,50
301931,80;14,65;173,43;104,66;4070537,80
301991,00;11,40;175,57;105,88;4075008,80
303283,20;13,71;178,02;102,49;4110371,30
308401,80;22,02;166,12;105,77;4116100,50
309431,50;18,17;168,51;115,25;4148685,80
309809,00;9,76;168,35;112,42;4178190,00
312514,60;14,82;169,04;116,04;4163561,80
307815,30;23,17;167,78;109,36;4217027,30
307745,40;17,05;158,83;114,00;4266154,00
309303,90;10,88;131,63;123,93;4285308,80
307184,70;13,76;106,42;133,62;4320161,80
299204,90;23,68;110,63;141,00;4345218,80
294779,00;20,08;96,67;159,47;4359270,00
292456,80;16,49;86,26;162,39;4365644,80
287763,90;19,00;76,36;158,69;4391366,30
289363,60;24,35;90,42;140,01;4404645,30
287615,10;15,97;94,43;128,34;4431122,30
287005,50;9,27;101,30;130,53;4453140,00
